status_id, status_message, link_name, status_type, status_link, status_published, num_reactions, num_comments, num_shares, num_likes, num_loves, num_wows, num_hahas, num_sads, num_angrys, num_special
139809379375627_1728964140460135, A reminder from our Petopia- City of Sugar Land Animal Services friends!, Petopia- City of Sugar Land Animal Services, photo, https://www.facebook.com/PetopiaSLTX/photos/a.330583044116565.1073741830.329165007591702/378835099291359/?type=3, 2018-05-25 14:52:31, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0
139809379375627_1728863393803543, Just a reminder that city offices will be closed on Monday May 28 for Memorial Day. We hope to see you at the Memorial Day Ceremony! More info: www.sugarlandtx.gov/MemorialDay., Timeline Photos, photo, https://www.facebook.com/SugarLandTXgov/photos/a.260314893991741.58914.139809379375627/1728863393803543/?type=3, 2018-05-25 12:30:50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
139809379375627_1728859400470609, Technology Keeps Sugar Land Safe MovingThe city of Sugar Land?s use of camera technology has ensured that the city is safer than ever before; however not all cameras serve the same purpose. We utilize several types of cameras to catch criminals keep our intersections safe and improve mobility. Can you tell the difference?? Red light cameras are currently utilized at six intersections. The implementation of red light cameras in Sugar Land resulted in a 58 percent reduction in accidents at targeted intersections.  By state law red light revenue is split between the state and the city; the city?s share must be used to fund traffic enforcement programs such as Safe Light Sugar Land. Read more at www.sugarlandtx.gov/safelight.? Our Crime Prevention Camera Program utilizes license plate recognition cameras at major entrances and exits to city mostly north of U.S. Highway 90A.  They will be considered for expansion throughout other areas of the city as funding becomes available. They have long been an effective crime-fighting tool for Sugar Land neighborhoods and businesses and they also serve as a deterrent. We?ve captured a number of criminals using this technology.  Read more at www.sugarlandtx.gov/crimecameras. ? The traffic detection and traffic monitoring cameras seen by motorists at intersections throughout our city are part of Intelligent Transportation Systems. They both serve a key role to managing traffic from the city?s state-of-the-art Traffic Management Center (TMC). State law prohibits the use of the traffic cameras for monitoring criminal activity. The traffic detection cameras are primarily used to call the green indication for the approach in which they are facing. The real-time traffic cameras are used to observe traffic in real time from the TMC. They assist operators in viewing traffic conditions so they can make adjustments if needed or troubleshoot reported concerns. The real-time cameras also supply images to our ITS.sugarlandtx.gov website that allows users to view traffic conditions in real-time. These cameras do not record or store video; however they?re an important tool to keep traffic moving and address what continually ranks as one of our residents? top concerns ? mobility. Learn more at http://www.sugarlandtx.gov/1128/Traffic-Management-and-Operations., , photo, https://www.facebook.com/SugarLandTXgov/photos/a.260314893991741.58914.139809379375627/1728859343803948/?type=3, 2018-05-25 12:24:29, 28, 4, 6, 28, 0, 0, 0, 0, 0, 0
139809379375627_1728750530481496, Instead of #FurryFriday let's have a #FeatheryFriday? ? All of Sugar Land?s old trees and beautiful bodies of water make it the ideal location for a very active bird population. This is particularly the case this time of year when lots of baby birds are being hatched. We have several rookeries throughout the city including one for Black-crowned Night Herons on Edgewater Blvd. These moms and dads come back every year and start setting up their nests in Late March early April. Babies start hatching soon after that and go through July. The pictures below are of a fledgling a teenager and then an adult. Full adult plumage is not acquired until their third year.What to do if you find a baby bird: http://www.sugarlandtx.gov/DocumentCenter/View/36/I-Found-a-Baby-Bird, Petopia- City of Sugar Land Animal Services, photo, https://www.facebook.com/PetopiaSLTX/photos/a.330583044116565.1073741830.329165007591702/377514022756800/?type=3, 2018-05-25 09:59:15, 8, 1, 0, 7, 1, 0, 0, 0, 0, 0
139809379375627_1727965807226635, #ThrowbackThursday to our 2015 Memorial Day Ceremony. Join us Monday May 28 beginning at 10 a.m. at Sugar Land Memorial Park [15300 University Blvd.] Limited parking is available at the park. A complimentary shuttle service will run from 9:30 a.m. to 1:30 p.m. from the University of Houston - Sugar Land campus.Don't forget to follow Sugar Land Parks and Recreation for event updates!, Sugar Land Parks and Recreation, photo, https://www.facebook.com/SugarLandParks/photos/a.1019070644791113.1073741877.661264067238441/1019070651457779/?type=3, 2018-05-24 15:43:17, 2, 0, 0, 2, 0, 0, 0, 0, 0, 0
139809379375627_1726891644000718, We want to welcome our 2018 Summer Interns to our Sugar Land team! Can't wait to see what great things you accomplish with us this summer., Timeline Photos, photo, https://www.facebook.com/SugarLandTXgov/photos/a.260314893991741.58914.139809379375627/1726891644000718/?type=3, 2018-05-23 14:48:31, 14, 0, 0, 14, 0, 0, 0, 0, 0, 0
139809379375627_1726738157349400, Another reason to give our Public Works Department some kudos for #PublicWorksWeek! Thank you for all that you do!, Joint Sealant, video, https://www.facebook.com/SugarLandTXgov/videos/1726738157349400/, 2018-05-23 11:11:08, 6, 0, 0, 6, 0, 0, 0, 0, 0, 0
139809379375627_1725779527445263, No Solicitation ListThe City of Sugar Land has an ordinance regulating door-to-door salesmen peddlers and solicitors. This ordinance allows residents to register for the City?s No Solicitation List. It is unlawful for any person engaged in residential door-to-door selling or soliciting to enter upon a property included on this list.  City ordinance requires solicitors to register with the City and meet the following provisions:? Background checks will be run on all applicants. Licenses will not be issued to persons convicted of certain misdemeanors or felonies during the past five years.  Violation of any provision can result in fines of up to $500 per offense and revocation of a solicitor?s license.? Individuals 14 years of age or older must hold a City license to solicit an occupant of a residential dwelling.  ? Hours of solicitation are confined to 9 a.m. to 8 p.m.? It is an offense to solicit a residence listed on the City?s ?No Solicitation? registry.  Register for the No Solicitation List at http://www.sugarlandtx.gov/formcenter/permits-inspections-14/no-solicitation-registration-80.Learn more about the ordinance at https://library.municode.com/tx/sugar_land/codes/code_of_ordinances?nodeId=PTIICOOR_CH4LIPEBURE_ARTIVPESO., , status, , 2018-05-22 14:28:07, 57, 17, 38, 55, 2, 0, 0, 0, 0, 0
139809379375627_1725715390785010, City of Sugar Land Memorial Day CeremonyMon. May 28 | 10 a.m-1 p.m.Sugar Land Memorial Park (15300 University Blvd.)bit.ly/2ruUVUf  #SLRemembers #SLMP, Sugar Land Parks and Recreation, video, https://www.facebook.com/SugarLandParks/videos/1942303169134518/, 2018-05-22 13:08:22, 3, 0, 0, 3, 0, 0, 0, 0, 0, 0
139809379375627_1725441847479031, , Sugar Land Police Department, photo, https://www.facebook.com/SugarLandPD/photos/a.1449877315262236.1073741828.1449658385284129/2054097024840259/?type=3, 2018-05-22 07:11:43, 10, 3, 2, 5, 0, 5, 0, 0, 0, 0
